service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8258,0,1,1,0,0,0,0,20210601,20210609
8260,1,1,1,1,0,0,0,20210607,20210610
8261,0,1,1,1,1,0,0,20210601,20210611
8262,0,1,1,1,1,1,0,20210601,20210611
8263,1,1,1,1,1,0,0,20210607,20210611
8265,0,0,0,0,0,1,0,20210605,20210612
8271,0,1,1,0,0,0,0,20210504,20210505
8272,0,1,1,1,1,0,0,20210504,20210507
8275,0,0,0,0,0,1,1,20210508,20210509
8276,0,0,0,0,0,1,1,20210501,20210509
8283,0,1,1,1,0,0,0,20210511,20210513
8284,1,1,1,1,0,0,0,20210510,20210513
8286,1,1,1,0,1,0,0,20210510,20210514
8287,1,1,1,1,1,0,0,20210503,20210514
8292,0,1,1,1,1,1,0,20210504,20210515
8294,0,0,0,0,0,1,1,20210508,20210516
8296,0,1,1,0,0,0,0,20210518,20210519
8300,0,1,1,1,1,1,0,20210518,20210522
8302,0,0,0,0,0,1,1,20210522,20210523
8305,0,0,0,0,0,1,0,20210522,20210523
8306,0,0,0,0,0,1,1,20210522,20210523
8307,0,0,0,0,0,1,1,20210513,20210523
8308,0,0,0,0,0,1,1,20210513,20210523
8312,1,1,1,1,1,0,0,20210503,20210516
8313,0,1,1,0,1,0,0,20210525,20210528
8314,0,1,0,1,1,0,0,20210525,20210611
8315,0,0,1,1,1,0,0,20210526,20210528
8317,1,1,1,1,1,0,0,20210503,20210528
8318,1,1,1,1,1,0,0,20210503,20210528
8319,1,1,1,1,1,0,0,20210503,20210528
8323,0,0,0,0,0,1,0,20210522,20210605
8324,1,0,0,0,0,1,0,20210522,20210605
8325,0,0,1,1,0,1,0,20210526,20210529
8326,0,1,1,1,1,1,0,20210504,20210529
8329,0,0,0,0,0,0,1,20210523,20210606
8330,0,0,0,0,0,0,1,20210501,20210606
8332,1,0,0,0,0,0,1,20210523,20210606
8335,0,0,0,0,0,1,1,20210529,20210530
8337,0,0,0,0,0,1,1,20210501,20210509
8338,1,0,0,0,0,1,1,20210524,20210606
8339,1,0,0,0,0,1,1,20210522,20210530
8340,1,0,0,0,0,1,1,20210522,20210606
8342,1,1,1,1,1,0,0,20210531,20210604
8343,1,1,1,1,1,0,0,20210531,20210611
8344,1,1,1,1,1,0,0,20210531,20210611
8345,1,0,0,0,0,0,0,20210525,20210607
8346,1,0,1,0,0,0,0,20210526,20210609
8348,1,1,1,1,1,0,0,20210525,20210610
8349,1,1,1,1,1,0,0,20210525,20210611
8350,1,1,1,1,1,0,0,20210503,20210611
8351,1,1,1,1,1,0,0,20210524,20210611
8353,1,0,0,0,0,0,1,20210502,20210516
8354,1,1,0,0,0,0,1,20210523,20210607
8364,0,0,0,0,0,1,1,20210403,20210404
8372,0,0,0,0,0,1,1,20210403,20210404
8374,1,1,0,0,0,0,0,20210405,20210406
8376,0,1,1,0,0,0,0,20210406,20210407
8380,0,0,0,0,1,0,0,20210402,20210409
8382,1,1,1,1,1,0,0,20210405,20210409
8387,0,0,0,0,0,1,0,20210403,20210410
8388,0,0,0,0,0,1,1,20210403,20210410
8389,0,1,1,1,1,1,0,20210406,20210410
8395,0,0,0,0,0,0,1,20210426,20210612
8396,0,0,0,0,0,0,1,20210404,20210411
8398,0,0,0,0,0,1,1,20210410,20210411
8399,0,0,0,0,0,1,1,20210403,20210411
8406,0,1,1,1,1,0,0,20210406,20210413
8409,0,1,1,0,0,0,0,20210413,20210414
8412,1,1,1,1,0,0,0,20210412,20210415
8416,1,1,1,1,1,0,0,20210412,20210416
8417,1,1,1,1,1,0,0,20210406,20210416
8418,1,1,1,1,1,0,0,20210406,20210418
8419,1,1,1,1,1,0,0,20210406,20210418
8420,1,1,1,1,1,0,0,20210405,20210418
8424,0,0,0,0,0,1,0,20210410,20210417
8426,0,0,0,0,0,1,0,20210426,20210515
8427,0,0,0,0,0,1,0,20210403,20210417
8428,0,0,0,0,0,1,1,20210410,20210417
8429,0,1,1,1,1,1,0,20210413,20210417
8430,0,1,1,1,1,1,0,20210407,20210417
8431,0,1,1,1,1,1,0,20210426,20210515
8432,0,1,1,1,1,1,0,20210406,20210418
8434,0,0,0,0,0,0,1,20210412,20210418
8435,0,0,0,0,0,0,1,20210404,20210418
8436,1,0,0,0,0,0,1,20210404,20210418
8437,0,0,0,0,0,1,1,20210417,20210418
8438,0,0,0,0,0,1,1,20210412,20210418
8440,0,0,0,0,0,1,1,20210405,20210418
8441,0,0,0,0,0,1,1,20210403,20210418
8446,1,1,0,0,0,0,0,20210405,20210411
8448,0,0,0,0,0,0,1,20210404,20210418
8449,0,1,1,0,0,0,0,20210413,20210421
8452,0,0,0,0,1,0,0,20210402,20210423
8453,0,1,0,1,1,0,0,20210415,20210423
8454,1,1,1,1,1,0,0,20210419,20210423
8455,1,1,1,1,1,0,0,20210517,20210611
8456,1,1,1,1,1,0,0,20210412,20210423
8458,1,1,1,1,1,0,0,20210524,20210611
8464,0,0,0,0,0,1,0,20210517,20210612
8466,0,0,0,0,0,1,0,20210419,20210612
8470,0,0,0,0,0,1,0,20210410,20210424
8472,0,0,0,0,0,1,0,20210403,20210424
8474,0,0,0,0,0,1,0,20210510,20210612
8475,0,0,0,0,0,1,0,20210405,20210605
8476,0,1,1,1,1,1,0,20210517,20210611
8477,0,1,1,1,1,1,0,20210413,20210424
8478,0,1,1,1,1,1,0,20210524,20210611
8483,0,0,0,0,0,0,1,20210419,20210425
8485,0,0,0,0,0,0,1,20210510,20210606
8498,0,0,0,0,0,0,1,20210404,20210516
8499,0,0,0,0,0,0,1,20210412,20210425
8501,0,0,0,0,0,0,1,20210412,20210606
8503,0,0,0,0,0,1,1,20210503,20210509
8504,0,0,0,0,0,1,1,20210424,20210612
8505,0,0,0,0,0,1,1,20210424,20210612
8506,0,0,0,0,0,1,1,20210419,20210425
8508,0,0,0,0,0,1,1,20210419,20210612
8511,0,0,0,0,0,1,1,20210412,20210425
8513,0,0,0,0,0,1,1,20210410,20210612
8514,0,0,0,0,0,1,1,20210403,20210425
8516,0,0,0,0,0,1,1,20210403,20210502
8517,0,0,0,0,0,1,1,20210403,20210606
8518,0,0,0,0,0,1,1,20210403,20210612
8519,0,0,0,0,0,1,1,20210403,20210425
8520,0,0,0,0,0,1,1,20210403,20210502
8521,0,0,0,0,0,1,1,20210403,20210502
8522,0,0,0,0,0,1,1,20210403,20210612
8523,0,0,0,0,0,1,1,20210412,20210523
8524,0,0,0,0,0,1,1,20210403,20210612
8525,1,0,0,0,0,0,0,20210426,20210523
8527,1,0,1,0,0,0,0,20210414,20210426
8528,0,0,0,0,0,0,1,20210425,20210509
8529,1,0,0,0,0,0,1,20210404,20210426
8530,1,0,0,0,0,0,1,20210404,20210426
8531,1,0,0,0,0,0,1,20210404,20210425
8532,1,0,0,0,0,0,1,20210404,20210607
8533,1,0,1,0,0,0,0,20210428,20210519
8534,0,1,1,0,0,0,0,20210427,20210428
8535,0,1,1,1,0,0,0,20210419,20210603
8538,1,1,1,1,0,0,0,20210419,20210610
8544,0,0,0,0,1,0,0,20210423,20210604
8545,0,0,0,0,1,0,0,20210423,20210611
8549,0,1,0,1,1,0,0,20210427,20210521
8550,1,1,1,1,1,0,0,20210427,20210521
8551,1,1,1,1,1,0,0,20210427,20210611
8552,0,1,1,1,1,1,0,20210426,20210522
8553,0,1,1,1,1,1,0,20210420,20210501
8555,0,1,1,1,1,0,0,20210419,20210604
8557,0,1,1,1,1,1,0,20210420,20210502
8558,0,1,1,1,1,1,0,20210420,20210605
8559,0,1,1,1,1,1,0,20210420,20210611
8560,0,1,1,1,1,1,0,20210407,20210611
8563,1,1,1,1,1,0,0,20210426,20210611
8565,1,1,1,1,1,0,0,20210426,20210521
8569,1,1,1,1,0,0,0,20210419,20210430
8570,1,1,1,1,1,0,0,20210419,20210430
8571,1,1,1,1,1,0,0,20210419,20210514
8573,1,1,1,1,1,0,0,20210419,20210502
8574,1,1,1,1,1,0,0,20210419,20210516
8575,1,1,1,1,1,0,0,20210419,20210611
8576,1,1,1,1,1,0,0,20210419,20210604
8577,1,1,1,1,1,0,0,20210419,20210611
8578,1,1,1,1,1,0,0,20210419,20210611
8579,1,1,1,1,1,0,0,20210419,20210612
8580,1,1,1,1,1,0,0,20210416,20210509
8581,1,1,1,1,1,0,0,20210416,20210516
8584,1,1,1,1,1,0,0,20210414,20210521
8591,1,1,1,1,1,0,0,20210412,20210611
8593,1,1,1,1,1,0,0,20210406,20210611
8598,1,0,0,0,0,0,1,20210404,20210516
8602,0,0,0,0,0,1,1,20210403,20210418
8611,1,1,1,1,1,0,0,20210419,20210611
8612,0,0,0,1,1,0,0,20210304,20210305
8622,1,1,1,1,1,0,0,20210419,20210611
8624,1,1,1,1,1,0,0,20210412,20210516
8625,1,1,1,1,1,0,0,20210412,20210523
8637,0,0,0,0,0,1,0,20210329,20210612
8638,0,0,0,0,1,1,0,20210305,20210306
8639,0,0,0,1,1,1,0,20210304,20210306
8640,0,1,1,1,1,1,0,20210412,20210523
8646,0,0,0,0,0,0,1,20210329,20210606
8648,0,0,0,0,0,1,1,20210306,20210307
8653,0,0,0,0,0,1,1,20210412,20210523
8658,1,1,0,0,0,0,0,20210308,20210309
8661,1,1,1,0,0,0,0,20210308,20210310
8665,1,1,1,1,0,0,0,20210419,20210610
8666,0,0,0,1,1,0,0,20210311,20210312
8667,0,0,0,1,1,0,0,20210305,20210312
8668,0,0,0,1,1,0,0,20210304,20210312
8670,1,1,1,1,1,0,0,20210419,20210611
8671,0,1,1,1,1,0,0,20210309,20210312
8673,1,1,1,1,1,0,0,20210308,20210312
8677,1,1,1,1,1,0,0,20210304,20210312
8678,1,1,1,1,1,0,0,20210304,20210312
8681,1,1,1,1,1,0,0,20210405,20210418
8683,1,1,1,1,1,0,0,20210419,20210611
8684,1,1,1,1,1,0,0,20210419,20210611
8685,1,1,1,1,1,0,0,20210412,20210611
8686,1,1,1,1,1,0,0,20210419,20210611
8702,0,0,0,0,0,1,0,20210510,20210612
8703,0,0,0,0,0,1,0,20210306,20210313
8705,0,0,0,0,0,1,0,20210503,20210612
8707,0,0,0,0,0,1,0,20210329,20210516
8709,0,0,0,0,0,1,0,20210510,20210612
8710,0,0,0,0,0,1,0,20210329,20210612
8711,0,1,1,1,1,1,0,20210309,20210313
8712,0,1,1,1,1,1,0,20210304,20210313
8713,1,1,1,1,1,1,0,20210308,20210313
8720,0,0,0,0,0,0,1,20210329,20210404
8722,0,0,0,0,0,0,1,20210510,20210606
8723,0,0,0,0,0,0,1,20210307,20210314
8728,0,0,0,0,0,1,1,20210313,20210314
8737,0,0,0,0,0,1,1,20210329,20210411
8738,0,0,0,0,0,1,1,20210329,20210411
8742,0,0,0,0,0,1,1,20210412,20210612
8743,0,0,0,0,0,1,1,20210329,20210612
8744,0,0,0,0,0,1,1,20210329,20210612
8745,0,0,0,0,0,1,1,20210306,20210314
8748,0,0,0,0,0,1,1,20210503,20210612
8749,0,0,0,0,0,1,1,20210503,20210606
8750,0,0,0,0,0,1,1,20210503,20210612
8751,0,0,0,0,0,1,1,20210329,20210516
8752,0,0,0,0,0,1,1,20210329,20210612
8753,0,0,0,0,0,1,1,20210329,20210612
8754,0,0,0,0,0,1,1,20210329,20210516
8755,0,0,0,0,0,1,1,20210329,20210516
8756,0,0,0,0,0,1,1,20210329,20210523
8757,0,0,0,0,0,1,1,20210329,20210516
8758,0,0,0,0,0,1,1,20210329,20210612
8759,0,0,0,0,0,1,1,20210329,20210612
8762,0,0,0,0,0,0,1,20210315,20210321
8763,0,1,1,1,1,0,0,20210419,20210604
8764,1,0,0,0,0,0,0,20210308,20210315
8766,0,0,0,0,0,0,1,20210314,20210321
8767,1,0,0,0,0,0,1,20210307,20210315
8769,1,0,0,0,0,0,1,20210329,20210607
8772,1,0,1,0,0,0,0,20210315,20210317
8773,0,1,1,0,0,0,0,20210316,20210317
8774,1,0,0,1,0,0,0,20210315,20210318
8775,0,1,1,1,0,0,0,20210309,20210318
8776,1,1,1,1,0,0,0,20210315,20210318
8780,1,1,1,1,0,0,0,20210308,20210318
8783,1,1,1,1,1,0,0,20210304,20210318
8785,0,0,0,0,1,0,0,20210419,20210611
8786,0,0,0,0,1,0,0,20210419,20210611
8787,0,0,0,0,1,0,0,20210312,20210319
8792,1,1,0,1,1,0,0,20210315,20210319
8794,0,0,1,1,1,0,0,20210317,20210319
8795,0,1,1,1,1,0,0,20210316,20210319
8796,0,1,1,1,1,0,0,20210309,20210319
8797,0,1,1,1,1,1,0,20210304,20210319
8798,1,1,1,1,1,0,0,20210315,20210319
8805,1,1,1,1,1,0,0,20210311,20210319
8807,1,1,1,1,1,0,0,20210308,20210319
8808,1,1,1,1,1,0,0,20210304,20210319
8809,1,1,1,1,1,0,0,20210304,20210319
8810,1,1,1,1,1,0,0,20210304,20210321
8817,0,0,0,0,0,1,0,20210419,20210514
8818,0,0,0,0,0,1,0,20210419,20210508
8819,0,0,0,0,0,1,0,20210419,20210508
8820,0,0,0,0,0,1,0,20210412,20210508
8821,0,0,0,0,0,1,0,20210510,20210612
8822,0,0,0,0,0,1,0,20210412,20210508
8826,0,0,0,0,0,1,0,20210419,20210612
8827,0,0,0,0,0,1,0,20210419,20210612
8828,0,0,0,0,0,1,0,20210412,20210424
8829,0,0,0,0,0,1,1,20210315,20210321
8830,0,0,0,0,0,1,0,20210412,20210425
8831,0,0,0,0,0,1,0,20210412,20210425
8832,0,0,0,0,0,1,0,20210313,20210320
8840,0,0,0,0,0,1,0,20210510,20210612
8841,0,0,0,0,0,1,0,20210306,20210320
8844,0,0,0,0,0,1,0,20210510,20210612
8845,0,1,1,1,1,1,0,20210316,20210320
8846,0,1,1,1,1,1,0,20210304,20210320
8853,0,0,0,0,0,0,1,20210419,20210509
8854,0,0,0,0,0,0,1,20210419,20210509
8855,0,0,0,0,0,0,1,20210412,20210509
8856,0,0,0,0,0,0,1,20210329,20210606
8857,0,0,0,0,0,0,1,20210412,20210509
8858,0,0,0,0,0,1,1,20210412,20210425
8859,0,0,0,0,0,0,1,20210419,20210502
8860,0,0,0,0,0,0,1,20210315,20210321
8862,0,0,0,0,0,0,1,20210419,20210606
8863,0,0,0,0,0,0,1,20210412,20210425
8864,0,0,0,0,0,0,1,20210329,20210606
8865,0,0,0,0,0,0,1,20210329,20210425
8866,0,0,0,0,0,0,1,20210419,20210523
8867,0,0,0,0,0,0,1,20210419,20210612
8868,0,0,0,0,0,0,1,20210314,20210321
8872,0,0,0,0,0,0,1,20210307,20210321
8874,0,0,0,0,0,0,1,20210405,20210425
8875,0,0,0,0,0,0,1,20210510,20210606
8876,0,0,0,0,0,0,1,20210419,20210509
8877,1,0,0,0,0,0,1,20210510,20210531
8878,0,0,0,0,0,1,1,20210320,20210321
8882,0,0,0,0,0,1,1,20210419,20210509
8883,0,0,0,0,0,1,1,20210412,20210509
8884,0,0,0,0,0,1,1,20210405,20210502
8885,0,0,0,0,0,1,1,20210329,20210502
8886,0,0,0,0,0,1,1,20210329,20210502
8887,0,0,0,0,0,1,1,20210329,20210612
8888,0,0,0,0,0,1,1,20210315,20210321
8889,0,0,0,0,0,1,1,20210412,20210425
8890,0,0,0,0,0,1,1,20210412,20210425
8891,0,0,0,0,0,1,1,20210412,20210425
8892,0,0,0,0,0,1,1,20210412,20210425
8893,0,0,0,0,0,1,1,20210315,20210321
8895,0,0,0,0,0,1,1,20210315,20210321
8896,0,0,0,0,0,0,1,20210419,20210612
8897,0,0,0,0,0,1,1,20210419,20210612
8898,0,0,0,0,0,1,1,20210419,20210612
8900,0,0,0,0,0,1,1,20210419,20210612
8901,0,0,0,0,0,1,1,20210412,20210425
8902,0,0,0,0,0,1,1,20210412,20210425
8903,0,0,0,0,0,1,1,20210412,20210425
8904,0,0,0,0,0,1,1,20210412,20210425
8905,0,0,0,0,0,1,1,20210405,20210612
8906,0,0,0,0,0,1,1,20210329,20210612
8907,1,1,1,1,1,1,1,20210419,20210612
8908,0,0,0,0,0,1,1,20210412,20210425
8909,0,0,0,0,0,1,1,20210412,20210425
8910,0,0,0,0,0,1,1,20210412,20210425
8911,0,0,0,0,0,1,1,20210412,20210425
8912,0,0,0,0,0,1,1,20210412,20210425
8913,0,0,0,0,0,1,1,20210313,20210321
8915,0,0,0,0,0,1,1,20210329,20210612
8917,0,0,0,0,0,1,1,20210329,20210612
8919,0,1,1,1,1,1,0,20210412,20210509
8920,0,0,0,0,0,1,1,20210405,20210612
8921,0,0,0,0,0,1,1,20210306,20210321
8922,0,0,0,0,0,1,1,20210405,20210516
8923,0,0,0,0,0,1,1,20210405,20210612
8924,0,0,0,0,0,1,1,20210405,20210612
8925,0,0,0,0,0,1,1,20210405,20210612
8926,1,1,1,1,1,1,1,20210304,20210321
8928,1,0,0,0,0,0,0,20210419,20210509
8929,1,0,0,0,0,0,0,20210304,20210314
8930,1,0,0,0,0,0,0,20210426,20210523
8931,1,0,0,0,0,0,0,20210315,20210322
8933,1,0,0,0,0,0,0,20210308,20210322
8934,1,0,0,0,0,0,1,20210307,20210607
8938,0,0,0,0,0,0,1,20210426,20210502
8939,0,0,0,0,0,0,1,20210307,20210321
8940,0,0,0,0,0,0,1,20210307,20210606
8941,1,0,0,0,0,0,1,20210307,20210607
8942,0,1,0,0,0,0,0,20210309,20210323
8944,1,1,1,0,0,0,0,20210322,20210324
8947,1,1,1,1,1,0,0,20210315,20210325
8948,1,0,1,1,0,0,0,20210322,20210325
8949,0,1,1,1,0,0,0,20210323,20210325
8950,1,1,1,1,0,0,0,20210322,20210325
8952,1,1,1,1,0,0,0,20210308,20210328
8953,1,1,1,1,0,0,0,20210304,20210328
8956,0,0,0,0,1,0,0,20210326,20210416
8958,0,0,0,0,1,0,0,20210319,20210326
8959,0,0,0,0,1,0,0,20210412,20210502
8960,0,0,0,0,1,0,0,20210319,20210611
8961,0,0,0,0,1,0,0,20210312,20210328
8962,0,0,0,0,1,0,0,20210312,20210416
8967,0,0,0,0,1,0,0,20210305,20210402
8969,0,0,0,0,1,0,0,20210305,20210328
8970,0,0,0,0,1,0,0,20210305,20210416
8975,0,0,0,0,1,0,0,20210305,20210611
8977,0,0,0,0,1,0,0,20210305,20210418
8979,0,0,0,0,1,0,0,20210304,20210418
8980,1,1,1,1,1,1,1,20210419,20210612
8984,0,1,1,1,1,0,0,20210304,20210314
8985,0,1,1,1,1,0,0,20210305,20210326
8986,0,1,1,1,1,0,0,20210304,20210326
8987,1,1,1,1,1,0,0,20210322,20210326
8992,1,1,1,1,1,0,0,20210304,20210314
8993,1,1,1,1,1,1,1,20210503,20210612
8994,1,1,1,1,1,0,0,20210315,20210326
8995,1,1,1,1,1,0,0,20210405,20210425
8996,1,1,1,1,1,0,0,20210315,20210328
8997,1,1,1,1,1,0,0,20210315,20210611
8998,1,1,1,1,1,0,0,20210426,20210611
8999,1,1,1,1,1,0,0,20210315,20210326
9000,1,1,1,1,1,0,0,20210315,20210328
9003,1,1,1,1,1,0,0,20210308,20210326
9005,1,1,1,1,1,0,0,20210308,20210328
9006,1,1,1,1,1,0,0,20210308,20210328
9007,1,1,1,1,1,0,0,20210305,20210326
9008,1,1,1,1,1,0,0,20210305,20210611
9009,1,1,1,1,1,0,0,20210304,20210326
9010,1,1,1,1,1,0,0,20210503,20210611
9011,1,1,1,1,1,0,0,20210304,20210328
9012,1,1,1,1,1,0,0,20210304,20210328
9013,0,0,0,0,1,0,0,20210329,20210425
9014,1,1,1,1,1,0,0,20210412,20210514
9015,1,1,1,1,1,0,0,20210412,20210611
9022,0,0,0,0,0,1,0,20210327,20210403
9023,0,0,0,0,0,0,1,20210329,20210404
9024,0,0,0,0,0,1,1,20210327,20210404
9028,0,0,0,0,0,1,0,20210510,20210612
9029,0,0,0,0,0,1,0,20210510,20210612
9030,0,0,0,0,0,1,1,20210517,20210612
9031,0,0,0,0,0,1,0,20210405,20210411
9032,0,0,0,0,0,0,1,20210405,20210411
9033,0,0,0,0,0,0,1,20210329,20210411
9034,0,0,0,0,0,1,1,20210405,20210411
9036,0,0,0,0,0,1,1,20210327,20210411
9037,0,0,0,0,0,1,0,20210327,20210404
9038,0,0,0,0,0,1,1,20210327,20210404
9043,0,0,0,0,0,1,0,20210327,20210529
9044,0,0,0,0,0,1,0,20210510,20210612
9045,0,0,0,0,0,1,0,20210327,20210612
9046,0,0,0,0,0,1,0,20210327,20210605
9051,0,0,0,0,0,1,0,20210322,20210403
9052,0,0,0,0,0,1,0,20210322,20210404
9054,0,0,0,0,0,1,0,20210405,20210612
9055,0,0,0,0,0,1,0,20210322,20210612
9056,0,0,0,0,0,1,0,20210322,20210425
9057,0,0,0,0,0,1,0,20210322,20210509
9058,0,0,0,0,0,1,1,20210322,20210612
9059,0,0,0,0,0,1,0,20210320,20210327
9060,0,0,0,0,0,1,0,20210510,20210612
9065,0,0,0,0,0,1,0,20210510,20210612
9066,0,0,0,0,0,1,0,20210320,20210501
9069,0,0,0,0,0,1,0,20210320,20210522
9071,0,0,0,0,0,1,0,20210320,20210425
9073,0,0,0,0,0,1,0,20210315,20210411
9075,0,0,0,0,0,1,0,20210510,20210612
9078,0,0,0,0,0,1,0,20210315,20210425
9079,0,0,0,0,0,1,0,20210315,20210425
9080,0,0,0,0,0,1,0,20210315,20210425
9081,0,0,0,0,0,1,0,20210315,20210418
9082,0,0,0,0,0,1,0,20210315,20210425
9083,0,0,0,0,0,1,0,20210315,20210425
9084,0,0,0,0,0,1,0,20210313,20210327
9085,0,0,0,0,0,1,0,20210313,20210410
9087,0,0,0,0,0,1,0,20210510,20210612
9089,0,0,0,0,0,1,0,20210313,20210529
9090,0,0,0,0,0,1,0,20210313,20210425
9091,0,0,0,0,0,1,0,20210313,20210425
9092,0,0,0,0,0,1,0,20210306,20210327
9095,0,0,0,0,0,1,0,20210510,20210612
9096,0,0,0,0,0,1,0,20210306,20210403
9097,0,0,0,0,0,1,0,20210306,20210328
9098,0,0,0,0,0,1,0,20210306,20210411
9099,0,0,0,0,0,1,0,20210510,20210612
9107,0,0,0,0,0,1,0,20210510,20210612
9110,0,0,0,0,0,1,0,20210510,20210612
9111,0,0,0,0,0,1,0,20210405,20210612
9115,0,0,0,0,0,1,0,20210306,20210425
9116,0,0,0,0,0,1,0,20210306,20210425
9117,0,0,0,0,0,1,0,20210306,20210605
9118,0,0,0,0,0,1,0,20210306,20210612
9119,0,0,0,0,0,1,0,20210306,20210425
9120,0,0,0,0,0,1,0,20210306,20210612
9121,0,0,0,0,0,1,0,20210306,20210612
9122,0,0,0,0,0,1,0,20210306,20210425
9123,0,0,0,0,0,1,0,20210306,20210612
9124,0,0,0,0,0,1,0,20210309,20210410
9125,0,0,0,0,0,1,0,20210309,20210529
9126,1,1,1,1,1,0,0,20210412,20210509
9128,0,0,0,0,0,1,1,20210320,20210411
9129,0,0,0,0,0,1,1,20210320,20210523
9130,0,0,0,0,0,1,1,20210412,20210523
9131,0,0,0,0,0,1,1,20210412,20210502
9132,0,0,0,0,0,1,1,20210412,20210502
9133,0,0,0,0,0,1,1,20210315,20210425
9134,0,0,0,0,0,1,1,20210412,20210425
9135,0,0,0,0,0,1,1,20210412,20210502
9136,0,0,0,0,0,1,1,20210315,20210612
9137,0,0,0,0,0,1,1,20210313,20210612
9138,0,0,0,0,0,1,1,20210306,20210612
9140,0,0,0,0,0,1,1,20210306,20210606
9141,0,0,0,0,0,1,1,20210306,20210612
9142,0,0,0,0,0,1,0,20210510,20210612
9143,0,0,0,0,1,1,0,20210326,20210327
9144,0,1,1,1,1,1,0,20210323,20210327
9145,0,1,1,1,1,1,0,20210316,20210327
9146,0,1,1,1,1,1,0,20210412,20210425
9147,0,1,1,1,1,1,0,20210315,20210328
9148,0,1,1,1,1,1,0,20210309,20210327
9151,0,0,0,0,0,1,0,20210329,20210425
9156,0,0,0,0,0,0,1,20210405,20210411
9157,0,0,0,0,0,0,1,20210405,20210411
9158,0,0,0,0,0,0,1,20210405,20210411
9159,0,0,0,0,0,1,1,20210405,20210411
9161,0,0,0,0,0,0,1,20210405,20210411
9162,0,0,0,0,0,0,1,20210419,20210516
9163,0,0,0,0,0,0,1,20210412,20210516
9164,0,0,0,0,0,0,1,20210328,20210606
9165,0,0,0,0,0,0,1,20210328,20210606
9166,0,0,0,0,0,0,1,20210328,20210606
9173,0,0,0,0,0,0,1,20210322,20210606
9175,0,0,0,0,0,0,1,20210322,20210404
9176,0,0,0,0,0,0,1,20210322,20210418
9177,0,0,0,0,0,0,1,20210510,20210606
9178,0,0,0,0,0,0,1,20210322,20210606
9179,0,0,0,0,0,0,1,20210322,20210606
9180,0,0,0,0,0,0,1,20210322,20210425
9181,0,0,0,0,0,0,1,20210322,20210606
9186,0,0,0,0,0,1,1,20210510,20210612
9187,0,0,0,0,0,0,1,20210322,20210606
9188,0,0,0,0,0,1,1,20210412,20210612
9189,0,0,0,0,0,1,1,20210412,20210612
9190,0,0,0,0,0,1,1,20210412,20210612
9191,0,0,0,0,0,1,1,20210412,20210612
9192,0,0,0,0,0,1,1,20210412,20210502
9193,0,0,0,0,0,1,1,20210322,20210612
9196,0,0,0,0,0,0,1,20210322,20210606
9197,0,0,0,0,0,1,0,20210419,20210509
9198,0,0,0,0,0,1,0,20210405,20210509
9199,0,0,0,0,0,1,0,20210419,20210509
9200,0,0,0,0,0,1,0,20210419,20210509
9201,0,0,0,0,0,0,1,20210510,20210606
9205,0,0,0,0,0,0,1,20210321,20210606
9206,0,0,0,0,0,0,1,20210321,20210502
9207,0,0,0,0,0,0,1,20210321,20210502
9208,1,0,0,0,0,0,1,20210412,20210509
9217,0,0,0,0,0,0,1,20210503,20210606
9220,0,0,0,0,0,0,1,20210315,20210502
9221,0,0,0,0,0,0,1,20210315,20210606
9222,0,0,0,0,0,0,1,20210315,20210606
9224,0,0,0,0,0,1,1,20210503,20210612
9225,0,0,0,0,0,0,1,20210307,20210502
9228,1,0,0,0,0,0,1,20210405,20210530
9229,0,0,0,0,0,0,1,20210307,20210328
9235,0,0,0,0,0,0,1,20210426,20210606
9237,0,0,0,0,0,0,1,20210307,20210328
